City,State,Rank,Population,lat,lon
Jonesboro,Arkansas,469,71551,35.8422967,-90.704279
Wilmington,Delaware,470,71525,39.7390721,-75.5397878
Lynwood,California,471,71371,33.930293,-118.2114603
Loveland,Colorado,472,71334,40.3977612,-105.0749801
Pawtucket,Rhode Island,473,71172,41.878711,-71.3825558
Boynton Beach,Florida,474,71097,26.5317866,-80.0905465
Waukesha,Wisconsin,475,71016,43.0116784,-88.2314813
Gulfport,Mississippi,476,71012,30.3674198,-89.0928155
Apple Valley,California,477,70924,34.5008311,-117.1858759
Passaic,New Jersey,478,70868,40.8567662,-74.1284764
Rapid City,South Dakota,479,70812,44.0805434,-103.2310149
Layton,Utah,480,70790,41.0602216,-111.9710529
Lafayette,Indiana,481,70373,40.4167022,-86.8752869
Turlock,California,482,70365,37.4946568,-120.8465941
Muncie,Indiana,483,70316,40.1933767,-85.3863599
Temple,Texas,484,70190,31.0982344,-97.342782
Missouri City,Texas,485,70185,29.6185669,-95.5377215
Redlands,California,486,69999,34.0555693,-117.1825381
Santa Fe,New Mexico,487,69976,35.6869752,-105.937799
Lauderhill,Florida,488,69813,26.1403635,-80.2133808
Milpitas,California,489,69783,37.4323341,-121.8995741
Palatine,Illinois,490,69350,42.1103041,-88.03424
Missoula,Montana,491,69122,46.8787176,-113.996586
Rock Hill,South Carolina,492,69103,34.9248667,-81.0250784
Jacksonville,North Carolina,493,69079,34.7540524,-77.4302414
Franklin,Tennessee,494,68886,35.9250637,-86.8688899
Flagstaff,Arizona,495,68667,35.1982836,-111.651302
Flower Mound,Texas,496,68609,33.0145673,-97.0969552
Weston,Florida,497,68388,26.1003654,-80.3997748
Waterloo,Iowa,498,68366,42.492786,-92.3425775
Union City,New Jersey,499,68247,40.6975898,-74.2631635
Mount Vernon,New York,500,68224,40.9125992,-73.8370786
Fort Myers,Florida,501,68190,26.640628,-81.8723084
Dothan,Alabama,502,68001,31.2232313,-85.3904888
Rancho Cordova,California,503,67911,38.5890723,-121.302728
Redondo Beach,California,504,67815,33.8491816,-118.3884078
Jackson,Tennessee,505,67685,35.6145169,-88.8139469
Pasco,Washington,506,67599,46.2395793,-119.1005657
St. Charles,Missouri,507,67569,38.7881062,-90.4974359
Eau Claire,Wisconsin,508,67545,44.811349,-91.4984941
North Richland Hills,Texas,509,67317,32.8342952,-97.2289029
Bismarck,North Dakota,510,67034,46.8083268,-100.7837392
Yorba Linda,California,511,67032,33.8886259,-117.8131125
Kenner,Louisiana,512,66975,29.9940924,-90.2417434
Walnut Creek,California,513,66900,37.9100783,-122.0651819
Frederick,Maryland,514,66893,39.4142688,-77.4105409
Oshkosh,Wisconsin,515,66778,44.0247062,-88.5426136
Pittsburg,California,516,66695,38.0279762,-121.8846806
Palo Alto,California,517,66642,37.4418834,-122.1430195
Bossier City,Louisiana,518,66333,32.5159852,-93.7321228
Portland,Maine,519,66318,43.661471,-70.2553259
St. Cloud,Minnesota,520,66297,45.5579451,-94.1632404
Davis,California,521,66205,38.5449065,-121.7405167
South San Francisco,California,522,66174,37.654656,-122.4077498
Camarillo,California,523,66086,34.2163937,-119.0376023
North Little Rock,Arkansas,524,66075,34.769536,-92.2670941
Schenectady,New York,525,65902,42.8142432,-73.9395687
Gaithersburg,Maryland,526,65690,39.1434406,-77.2013705
Harlingen,Texas,527,65665,26.1906306,-97.6961026
Woodbury,Minnesota,528,65656,44.9238552,-92.9593797
Eagan,Minnesota,529,65453,44.8041322,-93.1668858
Yuba City,California,530,65416,39.1404477,-121.6169108
Maple Grove,Minnesota,531,65415,45.0724642,-93.4557877
Youngstown,Ohio,532,65184,41.0997803,-80.6495194
Skokie,Illinois,533,65176,42.0324025,-87.7416246
Kissimmee,Florida,534,65173,28.2919557,-81.407571
Johnson City,Tennessee,535,65123,36.3134397,-82.3534727
Victoria,Texas,536,65098,28.8052674,-97.0035982
San Clemente,California,537,65040,33.4269728,-117.6119925
Bayonne,New Jersey,538,65028,40.6687141,-74.1143091
Laguna Niguel,California,539,64652,33.5225261,-117.7075526
East Orange,New Jersey,540,64544,40.767323,-74.2048677
Shawnee,Kansas,541,64323,39.0228485,-94.7151865
Homestead,Florida,542,64079,25.4687224,-80.4775569
Delray Beach,Florida,543,64072,26.4614625,-80.0728201
Rockville,Maryland,544,64072,39.0839973,-77.1527578
Janesville,Wisconsin,545,63820,42.6827885,-89.0187222
Conway,Arkansas,546,63816,35.0886963,-92.4421011
Pico Rivera,California,547,63771,33.9830688,-118.096735
Lorain,Ohio,548,63710,41.452819,-82.1823746
Montebello,California,549,63495,34.0165053,-118.1137535
Lodi,California,550,63338,38.1341477,-121.2722194
New Braunfels,Texas,551,63279,29.7030024,-98.1244531
Marysville,Washington,552,63269,48.0517637,-122.1770818
